,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Log_Close,Close_Squared,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Close_Inverse,Long_EMA,Lower_Band,Expanding_Mean
0,0.01,0.02,0.01,0.01,,0.03,0.01,0.01,0.01,,,,,0.02,0.01,,0.01
1,0.01,0.01,,0.01,,0.02,,,,,,,,0.01,,,
2,0.02,0.02,0.01,0.01,,0.03,0.01,0.01,,0.01,,,,0.02,,,
3,0.06,0.06,0.03,0.05,0.01,0.11,0.03,0.02,0.02,0.05,0.02,0.02,0.01,0.06,0.01,0.02,
4,0.01,0.01,,0.01,,0.02,,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.06,0.01
5,0.02,0.02,0.01,0.01,,0.03,0.01,0.01,,0.01,,,,0.02,0.01,,
6,0.03,0.03,0.01,0.02,0.01,0.06,0.02,0.01,0.01,0.01,,,,0.03,0.01,0.01,
7,0.02,0.02,0.01,0.01,,0.04,0.01,,,0.03,0.01,0.01,0.01,0.02,,0.01,
8,0.02,0.02,0.01,0.02,0.01,0.05,0.01,0.01,0.01,,,,,0.02,,0.01,
9,0.01,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.03,
10,0.01,0.01,0.01,0.01,,0.03,0.01,,,0.01,0.01,0.01,,0.01,,0.01,
11,0.01,0.01,,,,0.01,,,,0.01,,,,0.01,,,
12,0.05,0.05,0.02,0.04,0.01,0.09,0.04,0.03,0.02,0.04,0.02,0.02,0.01,0.05,0.01,0.01,
13,0.02,0.02,0.01,0.01,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,
14,0.02,0.02,0.01,0.02,,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.02,
15,0.02,0.02,0.01,0.02,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
16,0.01,0.01,,0.01,,0.02,,,,0.02,0.01,0.01,0.01,0.01,,,
17,0.01,0.01,,,,0.01,,,,,,,,0.01,,,
18,0.01,0.01,0.01,0.01,,0.03,0.01,,,,0.01,0.01,,0.01,,0.01,
19,0.01,0.01,0.01,0.01,,0.02,,,,,0.01,0.01,,0.01,,0.01,
20,0.01,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,,
21,0.02,0.02,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.02,
22,0.02,0.02,0.01,0.02,,0.04,0.02,0.01,0.01,0.01,0.01,0.01,,0.02,,,
23,0.01,0.01,0.01,0.02,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,
24,0.02,0.02,0.01,0.02,,0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,
25,0.01,0.01,0.01,0.01,,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.03,
26,0.02,0.02,0.01,0.02,,0.04,0.01,0.01,,0.01,,,0.01,0.02,0.01,0.01,
27,0.03,0.03,0.01,0.02,0.01,0.06,0.01,0.01,0.01,0.02,0.01,0.01,,0.03,,0.01,
28,0.02,0.02,0.01,0.01,,0.03,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.04,
29,0.02,0.02,0.01,0.01,,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
30,0.01,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
31,0.03,0.03,0.02,0.01,0.01,0.06,0.01,0.01,,0.01,,,,0.03,,0.01,
