,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.01,0.01,0.01,,0.01,0.01,,0.01,0.01,,,,,,,0.01
1,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
2,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,,0.01,0.01,0.01,
3,0.01,0.01,,,0.01,0.01,0.01,,,,,,,,,
4,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,
5,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,,0.01,0.01,,,0.02,
6,0.04,0.04,0.02,0.01,0.03,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
7,0.02,0.02,0.01,,0.01,0.02,0.01,,,0.03,0.01,0.01,0.01,0.01,0.01,
8,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,0.01,
9,0.03,0.03,0.01,,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,
10,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,,,0.01,,0.01,
11,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.01,0.03,
12,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
13,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,,0.01,0.01,,,0.01,
14,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
15,0.02,0.02,0.01,,0.02,0.02,0.01,,,,0.01,0.01,0.01,,0.01,
16,0.01,0.01,0.01,,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,
17,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,
18,,,,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,
19,0.01,0.01,,,,0.01,,,,0.01,,,,,,
20,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,,0.01,,,,,0.01,
21,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.01,,0.01,0.01,,0.01,0.03,
22,0.09,0.09,0.05,0.02,0.09,0.1,0.08,0.05,0.04,0.09,0.04,0.04,0.02,0.02,0.04,
23,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.03,0.04,0.02,0.09,
24,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,
25,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
26,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
27,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,
28,0.01,0.01,0.01,,0.01,0.01,,,,,,,0.01,0.01,0.01,
29,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
30,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
31,0.05,0.05,0.03,0.01,0.03,0.05,0.01,0.01,0.01,0.02,0.01,0.01,,,0.03,
