,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Close_Inverse,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,0.01,0.01,,0.01,,0.01,,,,,0.02,,0.01
1,0.03,0.03,0.01,0.03,0.04,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.04,0.01
2,0.06,0.06,0.03,0.05,0.04,0.01,0.03,0.05,0.02,0.02,0.02,0.01,0.01,0.06,0.02,
3,0.04,0.04,0.02,0.04,0.03,0.01,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.04,0.05,0.01
4,0.04,0.04,0.02,0.03,0.04,0.01,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.05,0.02
5,0.02,0.02,0.01,0.01,0.01,,0.01,0.03,,0.01,0.01,0.01,0.01,0.02,0.01,0.01
6,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01
7,0.01,0.01,0.01,0.01,,,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,,
8,0.03,0.03,0.01,0.02,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.03,0.02,
9,0.05,0.05,0.03,0.03,0.02,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.05,0.01,
10,0.02,0.02,0.01,0.02,0.02,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.05,
11,0.02,0.02,0.01,0.01,,,,0.02,,0.01,0.01,0.01,,0.02,,
12,0.03,0.03,0.01,0.02,0.03,0.01,0.02,0.03,0.02,0.03,0.03,0.02,0.01,0.03,0.03,
13,0.05,0.05,0.02,0.04,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.05,0.01,
14,0.03,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.01
15,0.04,0.04,0.02,0.04,0.04,0.01,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.01
16,0.01,0.01,,0.01,0.01,,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.04,0.01
17,0.02,0.02,0.01,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,0.02,0.01
18,0.02,0.02,0.01,0.02,0.02,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01
19,0.03,0.03,0.01,0.03,0.03,,0.02,0.03,0.02,0.03,0.03,0.01,0.01,0.03,0.04,
20,0.02,0.02,0.01,0.02,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,0.01,
21,0.04,0.04,0.02,0.04,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.05,0.04,
22,0.03,0.03,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,0.01,
23,0.02,0.02,0.01,0.02,0.03,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,
24,0.04,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.04,0.03,
25,0.05,0.05,0.02,0.04,0.04,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.05,0.01,
26,0.03,0.03,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,0.03,
27,0.03,0.03,0.01,0.02,0.02,,0.01,0.02,0.01,0.01,0.01,,0.01,0.03,0.01,
28,0.09,0.09,0.04,0.08,0.06,0.01,0.05,0.09,0.04,0.04,0.04,0.03,0.03,0.09,0.03,0.01
29,0.02,0.02,0.01,0.01,0.01,,0.02,0.02,0.02,0.03,0.03,0.04,0.02,0.02,0.09,0.01
30,0.03,0.03,0.01,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.01
31,0.05,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,
