,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Log_Close,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Close_Inverse,Lower_Band,Expanding_Mean
0,0.01,0.01,0.01,0.01,,0.01,0.01,,,,0.01,0.01,,0.01
1,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,0.02,0.02,0.01,0.01,,0.01,,,,0.01,0.01,0.02,0.01,
4,0.02,0.02,0.01,0.01,,,,0.01,0.01,,,0.02,0.01,
5,0.05,0.05,0.02,0.04,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.05,
6,0.02,0.02,0.01,0.01,,,0.01,0.01,0.01,0.02,0.01,0.02,0.02,
7,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,
8,0.01,0.01,,,,,,0.01,0.01,,,0.01,0.02,
9,0.01,0.01,0.01,0.01,,,,,,,,0.01,,
10,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
11,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,
12,0.04,0.04,0.02,0.04,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.04,0.02,
13,0.01,0.01,0.01,0.01,,,,0.01,0.01,0.01,0.01,0.01,0.01,
14,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,0.01,,0.01,0.02,,
15,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
16,0.04,0.04,0.02,0.04,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.04,0.02,
17,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.03,
18,0.02,0.02,0.01,0.01,,0.01,0.01,,,,0.01,0.02,,
19,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
20,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.01,,0.01,0.03,0.02,
21,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,
22,0.03,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,
23,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
24,0.04,0.04,0.02,0.04,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.04,
25,0.02,0.02,0.01,0.02,,0.01,,0.01,0.01,0.01,,0.02,0.01,
26,0.01,0.01,,0.01,,,,,,,,0.01,,
27,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,,0.02,0.02,
28,0.04,0.04,0.02,0.04,0.01,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.03,
29,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,
30,0.08,0.08,0.04,0.1,0.02,0.08,0.08,0.09,0.09,0.06,0.06,0.1,0.08,0.01
31,0.02,0.02,0.01,0.02,,0.01,,0.01,0.01,0.02,0.01,0.03,0.02,
