,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Moving_Average_3,Moving_Average_5,EMA,Close_Inverse,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Long_EMA,Moving_Average_15,Lower_Band,Expanding_Mean
0,0.04,0.04,0.02,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,,,0.03,0.01
1,0.02,0.02,0.01,0.01,0.03,0.04,0.03,0.02,0.03,0.06,0.04,0.04,0.02,0.02,0.04,0.02
2,0.07,0.07,0.03,0.02,0.08,0.08,0.05,0.07,0.05,0.09,0.05,0.05,0.02,0.02,0.04,0.01
3,0.07,0.07,0.04,0.02,0.06,0.05,0.04,0.07,0.04,0.06,0.03,0.03,0.03,0.05,0.04,0.01
4,0.02,0.02,0.01,,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.06,0.01
5,0.05,0.05,0.02,0.01,0.05,0.04,0.03,0.05,0.02,0.01,0.02,0.02,0.01,0.02,0.05,
6,0.04,0.04,0.02,0.01,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.04,
7,0.03,0.03,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.03,0.01,0.01,0.01,0.02,0.01,
8,0.04,0.04,0.02,0.01,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,,0.01,0.01,
9,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,
10,0.03,0.03,0.02,0.01,0.01,,0.01,0.03,0.01,0.02,,,0.01,0.01,0.01,
11,0.03,0.03,0.01,0.01,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.02,0.03,0.07,
12,0.02,0.02,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,
13,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.01,,0.01,0.03,
14,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,,,,0.01,0.01,
15,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.01,0.01,,0.01,0.01,
16,0.01,0.01,0.01,,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.06,
17,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,,0.01,0.02,
18,0.04,0.04,0.02,0.01,0.04,0.04,0.02,0.04,0.02,0.05,0.03,0.03,0.01,0.02,0.03,
19,0.02,0.02,0.01,,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
20,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
21,0.06,0.06,0.03,0.01,0.04,0.04,0.03,0.06,0.02,0.01,0.02,0.02,0.01,0.01,0.06,
22,0.03,0.03,0.02,0.01,0.03,0.03,0.01,0.03,0.01,0.01,0.01,0.01,,0.01,0.02,
23,0.01,0.01,0.01,,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.03,
24,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
25,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,
26,0.03,0.03,0.01,0.01,0.02,0.02,0.01,0.03,0.01,,,,0.01,0.01,0.01,
27,0.06,0.06,0.03,0.01,0.05,0.04,0.03,0.06,0.03,0.05,0.02,0.02,0.02,0.01,0.01,
28,0.02,0.02,0.01,,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.06,
29,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,,0.01,0.03,
30,0.05,0.05,0.03,0.01,0.06,0.06,0.04,0.05,0.04,0.07,0.04,0.04,0.02,0.02,0.03,
31,0.01,0.01,0.01,,0.01,0.01,,0.01,,0.02,0.01,0.01,0.01,0.01,0.03,
