,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Close_Inverse,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.01,0.01,0.01,0.01,,,,,,,0.01,,,,,0.01
1,0.01,0.01,0.01,0.01,,0.01,,,,,0.01,0.01,,,,
2,0.03,0.03,0.01,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0.01,0.01
3,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,,,0.02,,0.01,0.01,0.01,
4,0.04,0.04,0.02,0.04,0.01,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.02,0.02,0.03,0.01
5,0.01,0.01,0.01,0.01,,0.01,,0.01,,,0.01,,0.01,0.01,0.01,0.01
6,0.05,0.05,0.03,0.04,0.01,0.03,0.02,0.02,0.01,0.01,0.05,0.02,0.01,0.01,0.04,
7,0.03,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.05,0.02,0.01,0.02,
8,0.03,0.03,0.01,0.02,,0.02,0.01,0.01,0.01,0.01,0.02,0.01,,0.01,0.01,
9,0.01,0.01,0.01,0.01,,,,,,,0.01,0.01,0.01,,0.01,
10,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,0.01,
11,0.01,0.01,0.01,0.01,,0.01,,,,,0.01,,,,,
12,0.05,0.05,0.02,0.04,0.01,0.04,0.03,0.03,0.02,0.02,0.05,0.04,0.02,0.02,0.01,
13,0.02,0.02,0.01,0.01,,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,
14,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,
15,0.01,0.01,0.01,0.01,,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
16,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,
17,0.01,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.02,,,0.02,
18,0.01,0.01,0.01,0.01,,0.01,,,0.01,0.01,0.01,0.01,,,0.02,
19,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.01,
20,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,,,0.02,0.01,,,0.01,
21,0.03,0.03,0.02,0.04,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.03,
22,0.05,0.05,0.03,0.05,0.01,0.04,0.03,0.02,0.02,0.02,0.05,0.05,0.01,0.01,0.02,
23,0.01,0.01,0.01,0.01,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.04,
24,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,,
25,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,
26,0.01,0.01,,0.01,,0.01,,,,,0.01,,0.01,0.01,0.01,
27,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,
28,0.04,0.04,0.02,0.04,0.01,0.03,0.03,0.02,0.02,0.02,0.04,0.05,0.02,0.02,0.01,
29,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,
30,0.01,0.01,,,,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,
31,0.02,0.02,0.01,0.01,,0.01,,,,,0.02,0.01,,,0.01,
