,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Moving_Average_5,Close_Inverse,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Lower_Band,Long_EMA,Expanding_Mean
0,0.02,0.02,0.01,0.04,,0.01,0.01,0.02,,,,,,,,,0.01
1,0.01,0.01,,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
2,0.02,0.02,0.01,0.04,,0.01,0.01,0.02,0.01,,,,0.01,,0.01,,
3,0.02,0.02,0.01,0.04,,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
4,0.02,0.02,0.01,0.04,,0.02,0.01,0.02,0.01,0.01,,,0.01,0.01,,0.01,
5,0.02,0.02,0.01,0.04,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01
6,0.02,0.02,0.01,0.04,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
7,0.03,0.03,0.01,0.05,,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.01,
8,0.02,0.02,0.01,0.04,,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
9,0.04,0.04,0.02,0.08,0.01,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.06,0.03,0.03,0.03,0.01
10,0.01,0.01,,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01
11,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,,,,,0.01,,,0.01,
12,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
13,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
14,0.02,0.02,0.01,0.05,,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
15,0.04,0.04,0.02,0.08,0.01,0.03,0.03,0.04,0.01,0.01,0.01,0.01,0.01,,0.02,,
16,0.03,0.03,0.01,0.05,,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.01,
17,0.03,0.03,0.01,0.05,,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.02,
18,0.02,0.02,0.01,0.04,,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,,0.03,,
19,0.02,0.02,0.01,0.04,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
20,0.03,0.03,0.02,0.06,0.01,0.01,0.01,0.03,0.01,0.01,,,0.01,0.01,0.02,0.01,
21,0.02,0.02,0.01,0.05,,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.01,0.01,
22,0.03,0.03,0.01,0.05,,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.01,,0.01,,
23,0.04,0.04,0.02,0.08,0.01,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.05,0.03,0.01,0.02,
24,0.01,0.01,,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,
25,0.02,0.02,0.01,0.04,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,
26,0.02,0.02,0.01,0.04,,0.02,0.01,0.02,0.01,,,,,0.01,0.01,0.01,
27,0.02,0.02,0.01,0.03,,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.06,0.02,
28,0.01,0.01,0.01,0.03,,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,
29,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,,,,,,,,0.01,
30,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
31,0.04,0.04,0.02,0.09,0.01,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.03,,
