,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean
0,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,,,,,,,,,
1,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,,,,,,,,,
2,0.01,0.01,,,0.02,0.01,0.01,0.01,,,,,,,,0.01,
3,0.02,0.02,0.01,,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.02,
4,0.02,0.02,0.01,,0.04,0.02,0.02,0.01,0.01,0.01,0.01,,,0.01,,0.01,
5,0.02,0.02,0.01,,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
6,0.02,0.02,0.01,,0.03,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,
7,0.02,0.02,0.01,,0.04,0.02,0.02,0.01,0.01,,0.01,,,,,0.01,
8,0.02,0.02,0.01,,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,
9,0.01,0.01,,,0.02,0.01,0.01,,,,,,,,,0.01,
10,0.01,0.01,,,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
11,0.03,0.03,0.02,0.01,0.06,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,
12,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.02,
13,0.01,0.01,0.01,,0.02,0.01,0.01,,,,,,,,,,
14,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,,,,,,,0.01,
15,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
16,0.03,0.03,0.01,0.01,0.06,0.03,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.01,0.02,
17,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,
18,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,
19,0.03,0.03,0.01,0.01,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
20,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.05,
21,0.02,0.02,0.01,,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,
22,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.02,0.01,,0.01,0.01,0.01,,,0.02,
23,0.03,0.03,0.02,0.01,0.07,0.04,0.04,0.03,0.02,,0.02,0.02,0.02,0.02,0.01,0.03,
24,0.01,0.01,,,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,
25,0.02,0.02,0.01,,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
26,0.03,0.03,0.01,0.01,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
27,0.04,0.04,0.02,0.01,0.07,0.04,0.04,0.05,0.04,0.05,0.03,0.04,0.04,0.02,0.02,0.04,
28,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,,0.01,0.01,,,0.02,0.01,0.01,
29,0.03,0.03,0.01,0.01,0.06,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.03,
30,0.02,0.02,0.01,,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
31,0.01,0.01,,,0.02,0.01,0.01,,,0.01,,,,,,,
