,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean
0,0.04,0.05,0.02,0.01,0.04,0.04,0.03,0.01,0.01,,,,0.01,,0.02
1,0.02,0.02,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.02,,0.01,0.02,0.01
2,0.06,0.06,0.03,0.02,0.06,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.03,
3,0.04,0.04,0.02,0.01,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.01,0.01
4,0.03,0.03,0.02,0.01,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01
5,0.03,0.03,0.02,0.01,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.01
6,0.05,0.05,0.03,0.01,0.05,0.05,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01
7,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
8,0.05,0.05,0.03,0.01,0.05,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.01,
9,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
10,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.02,
11,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
12,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.05,
13,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
14,0.05,0.05,0.03,0.01,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.04,
15,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,
16,0.06,0.06,0.03,0.01,0.06,0.06,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.01,
17,0.02,0.02,0.01,,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.04,
18,0.02,0.02,0.01,,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,,0.02,
19,0.02,0.02,0.01,,0.02,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.03,
20,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,
21,0.05,0.05,0.02,0.01,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,
22,0.08,0.08,0.04,0.02,0.08,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.03,0.03,
23,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0.02,
24,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.03,
25,0.06,0.06,0.03,0.01,0.06,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.02,0.07,
26,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,
27,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
28,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
29,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
30,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
31,0.02,0.02,0.01,0.01,0.02,0.01,0.01,,,,,0.01,,,
