,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Long_EMA,Moving_Average_15,Expanding_Mean
0,0.07,0.07,0.03,0.02,0.06,0.05,0.02,0.02,,,0.01,,0.03
1,0.04,0.04,0.02,0.01,0.04,0.05,0.03,0.03,0.03,0.03,0.02,0.01,0.01
2,0.04,0.04,0.02,0.01,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.01
3,0.06,0.06,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.01,0.02,
4,0.07,0.07,0.04,0.02,0.06,0.07,0.06,0.06,0.07,0.07,0.05,0.06,0.02
5,0.07,0.07,0.03,0.02,0.06,0.04,0.02,0.02,0.02,0.02,0.02,0.03,0.01
6,0.05,0.05,0.02,0.01,0.04,0.04,0.03,0.02,0.03,0.03,0.01,0.03,0.01
7,0.04,0.04,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,,0.01,
8,0.04,0.04,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
9,0.09,0.09,0.04,0.02,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.01,
10,0.08,0.08,0.04,0.02,0.07,0.08,0.05,0.05,0.09,0.09,0.04,0.07,
11,0.07,0.07,0.03,0.02,0.06,0.05,0.05,0.04,0.06,0.06,0.02,0.05,
12,0.04,0.04,0.02,0.01,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.05,0.01
13,0.04,0.04,0.02,0.01,0.03,0.03,0.01,0.01,0.01,0.01,,0.01,
14,0.03,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,
15,0.04,0.04,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
16,0.04,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,
17,0.04,0.04,0.02,0.01,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,
18,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,0.02,,0.01,
19,0.05,0.05,0.03,0.01,0.05,0.05,0.03,0.03,0.03,0.03,0.01,0.02,
20,0.04,0.04,0.02,0.01,0.03,0.02,0.01,0.01,0.02,0.02,,0.01,
21,0.05,0.05,0.03,0.01,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,
22,0.07,0.07,0.03,0.02,0.07,0.06,0.03,0.02,0.02,0.02,0.01,0.01,
23,0.04,0.04,0.02,0.01,0.05,0.05,0.04,0.04,0.05,0.05,0.03,0.05,
24,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.03,
25,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.02,
26,0.05,0.05,0.02,0.01,0.04,0.04,0.02,0.02,0.02,0.02,,0.01,
27,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,
28,0.04,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,
29,0.04,0.04,0.02,0.01,0.03,0.04,0.03,0.03,0.06,0.06,0.03,0.04,0.01
30,0.02,0.02,0.01,,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01
31,0.02,0.02,0.01,,0.01,0.01,,,,,,,
