,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Moving_Average_5,Close_Inverse,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Long_EMA,Moving_Average_15,Lower_Band,Expanding_Mean
0,0.03,0.03,0.02,0.06,0.01,0.02,0.02,0.03,0.01,0.01,,,,0.01,,,0.01
1,0.01,0.01,0.01,0.02,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01
2,0.02,0.02,0.01,0.03,,0.01,0.01,0.02,,,,,0.01,,0.01,0.01,
3,0.03,0.03,0.02,0.07,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,
4,0.03,0.03,0.01,0.05,,0.02,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.01
5,0.02,0.02,0.01,0.04,,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
6,0.02,0.02,0.01,0.04,,0.01,0.01,0.02,0.01,0.01,,,,,,0.01,
7,0.03,0.03,0.01,0.05,,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,
8,0.01,0.01,,0.02,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
9,0.03,0.03,0.01,0.05,,0.02,0.01,0.03,0.01,0.01,,,0.01,,,0.02,
10,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
11,0.04,0.04,0.02,0.08,0.01,0.03,0.02,0.04,0.01,0.01,0.01,0.01,0.03,,,0.02,
12,0.03,0.03,0.01,0.05,,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,,,0.02,
13,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
14,0.03,0.03,0.01,0.06,,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
15,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.04,
16,0.01,0.01,0.01,0.02,,0.01,,0.01,,,,,,0.01,0.01,0.01,
17,0.02,0.02,0.01,0.05,,0.02,0.01,0.02,0.01,0.01,,,0.01,,,0.01,
18,0.01,0.01,0.01,0.02,,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.05,
19,0.03,0.03,0.02,0.06,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,,0.01,0.04,
20,0.03,0.03,0.01,0.05,,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
21,0.05,0.05,0.02,0.09,0.01,0.04,0.04,0.05,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.04,
22,0.03,0.03,0.01,0.06,,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
23,0.02,0.02,0.01,0.04,,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.03,0.04,
24,0.01,0.01,,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
25,0.02,0.02,0.01,0.04,,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,
26,0.03,0.03,0.01,0.06,,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,
27,0.02,0.02,0.01,0.04,,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
28,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
29,0.01,0.01,0.01,0.03,,0.01,,0.01,,,0.01,0.01,0.01,0.01,,0.01,
30,0.01,0.01,0.01,0.03,,0.01,0.01,0.02,,,,,,,,,
31,0.02,0.02,0.01,0.03,,0.01,,0.02,,,,,0.01,,,,
