,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,Upper_Band,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Close_Inverse,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.01,0.01,0.01,0.01,,,0.01,0.01,,,,0.02,0.01,,0.01
1,0.01,0.01,,0.01,0.01,,,,,,,,0.01,,,
2,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,,,,,0.02,,0.01,
3,0.01,0.01,,0.01,0.01,,,0.01,,,,,0.01,,,
4,0.01,0.01,,0.01,0.01,,,,,,,,0.01,,0.01,
5,0.06,0.06,0.03,0.05,0.03,0.01,0.06,0.03,0.02,0.02,0.02,0.01,0.06,0.01,0.03,
6,0.03,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.01,0.06,
7,0.01,0.01,0.01,0.01,0.01,,0.02,,,0.01,0.01,0.01,0.01,,0.01,
8,0.02,0.02,0.01,0.02,0.02,,,0.01,0.01,0.01,0.01,0.01,0.02,,0.02,
9,0.04,0.04,0.02,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.01,,0.03,,0.01,
10,0.01,0.01,,0.01,0.01,,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
11,0.02,0.02,0.01,0.01,,,0.01,,,,,,0.02,,0.01,
12,0.03,0.03,0.01,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.02,
13,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,
14,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
15,0.04,0.04,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,
16,0.01,0.01,0.01,0.02,0.03,,0.02,0.03,0.03,0.04,0.04,0.03,0.01,0.02,0.08,0.01
17,0.02,0.02,0.01,0.01,0.01,,,,,,,0.01,0.02,0.01,0.01,0.01
18,0.01,0.01,,,,,,,,0.01,0.01,,0.01,0.01,0.02,
19,0.02,0.02,0.01,0.02,0.02,,0.01,0.01,0.01,0.02,0.02,0.01,0.02,,0.02,
20,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
21,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.03,
22,0.01,0.01,,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,,0.04,
23,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
24,0.01,0.01,0.01,0.01,,,,,,,,,0.01,,,
25,0.01,0.01,,0.01,0.01,,,,,0.01,0.01,,0.01,,0.01,
26,0.01,0.01,0.01,0.01,0.01,,,0.01,,0.01,0.01,,0.01,,0.01,
27,0.01,0.01,,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
28,0.03,0.03,0.01,0.03,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,
29,0.03,0.03,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,
30,0.06,0.06,0.03,0.07,0.08,0.01,0.09,0.07,0.07,0.07,0.07,0.06,0.07,0.05,0.07,0.01
31,0.01,0.01,0.01,,,,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.04,
