,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Moving_Average_3,Moving_Average_5,Close_Inverse,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean
0,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,,,,0.01,,0.01
1,0.01,0.01,,,,,0.01,,,,,,,0.01,
2,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,
3,0.04,0.04,0.02,0.01,0.03,0.02,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.02,
4,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,,0.01,0.01,0.01,,0.01,
5,0.02,0.02,0.01,,0.01,0.01,0.02,,,,,,,,
6,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,,,,,0.01,
7,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
8,0.01,0.01,0.01,,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,,
9,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,
10,0.01,0.01,,,0.01,0.01,0.01,,,,,0.01,,0.01,
11,0.04,0.04,0.02,0.01,0.03,0.03,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,
12,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.02,
13,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,0.01,0.01,
14,0.03,0.03,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,,0.02,
15,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.01,,0.01,
16,0.03,0.03,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
17,0.01,0.01,0.01,,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
18,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,,,0.01,0.01,0.01,
19,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,
20,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,
21,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
22,0.08,0.08,0.04,0.02,0.07,0.07,0.07,0.05,0.05,0.04,0.04,0.03,0.03,0.03,
23,0.01,0.01,0.01,,0.01,0.02,0.01,,,0.01,0.01,0.02,0.01,0.03,
24,0.04,0.04,0.02,0.01,0.04,0.03,0.04,0.03,0.02,0.03,0.03,0.01,0.02,0.01,
25,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.04,
26,0.03,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,,0.01,
27,0.04,0.04,0.02,0.01,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.03,0.03,0.05,
28,0.05,0.05,0.03,0.01,0.04,0.02,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
29,0.02,0.02,0.01,,0.01,0.02,0.02,0.02,0.02,0.04,0.04,0.03,0.01,0.01,
30,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
31,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,,,,0.01,0.01,
