,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.01,0.01,0.01,,0.01,,,,,,,,,,,
1,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,,,,,,
2,0.08,0.08,0.04,0.02,0.08,0.08,0.07,0.05,0.04,0.09,0.04,0.04,0.03,0.03,0.03,0.01
3,0.01,0.01,,,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.02,0.08,0.01
4,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,,,,0.01,0.01,0.01
5,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,,,,,,0.01,
6,0.04,0.04,0.02,0.01,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
7,0.04,0.04,0.02,0.01,0.04,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,
8,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
9,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
10,0.04,0.04,0.02,0.01,0.05,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,
11,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.02,0.02,0.01,
12,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.01,,0.03,
13,0.02,0.02,0.01,,0.02,0.01,0.01,,,,0.01,0.01,0.01,,0.01,
14,0.04,0.04,0.02,0.01,0.04,0.03,0.02,0.01,0.01,0.02,0.01,0.01,,,0.01,
15,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.04,
16,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,
17,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,,0.02,
18,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,0.01,
19,0.04,0.04,0.02,0.01,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,
20,0.02,0.02,0.01,,0.02,0.01,,0.01,0.01,0.03,0.01,0.01,0.02,0.01,,
21,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
22,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,,0.01,
23,0.02,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
24,0.03,0.03,0.01,0.01,0.03,0.01,0.01,,,0.01,0.01,0.01,,,0.01,
25,0.05,0.05,0.03,0.01,0.06,0.05,0.05,0.04,0.04,0.06,0.04,0.04,0.03,0.02,0.02,
26,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
27,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,,0.03,
28,0.02,0.02,0.01,,0.02,0.01,0.01,,,,0.01,0.01,,,0.02,
29,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,
30,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,,,,,0.01,
31,0.06,0.06,0.03,0.01,0.06,0.04,0.03,0.02,0.02,0.05,0.02,0.02,0.01,0.01,0.02,
