,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Close_Inverse,Lower_Band,Expanding_Mean
0,0.01,0.01,0.01,0.01,,,,,,,,,,0.01,0.01,
1,0.02,0.02,0.01,0.02,,0.01,,,,,,,,0.02,0.01,
2,0.02,0.02,0.01,0.01,,,,,0.01,0.01,0.01,,,0.02,,
3,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,
4,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
5,0.02,0.02,0.01,0.02,,0.01,0.01,,,,,,,0.02,0.01,
6,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,0.02,
7,0.02,0.02,0.01,0.01,,0.01,,,0.01,,,,,0.02,0.01,
8,0.01,0.01,0.01,0.01,,0.01,,,,,,,,0.01,,
9,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,
10,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
11,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
12,0.02,0.02,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
13,0.01,0.01,0.01,0.01,,0.01,,,,,,,,0.01,0.01,
14,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,,,0.02,0.01,
15,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
16,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,,,,0.01,0.02,,
17,0.01,0.01,0.01,0.01,,0.01,,,,,,,,0.01,0.01,
18,0.01,0.01,,0.01,,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.03,
19,0.01,0.01,0.01,0.01,,0.01,,,,,,,,0.01,0.01,
20,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,0.01,
21,0.04,0.04,0.02,0.03,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0.03,
22,0.05,0.05,0.03,0.05,0.01,0.05,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.05,0.01,
23,0.02,0.02,0.01,0.02,,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.02,0.02,0.06,
24,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
25,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.01
26,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,,,,,,0.02,0.01,
27,0.02,0.02,0.01,0.03,,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.01
28,0.03,0.03,0.02,0.02,,0.02,0.01,0.01,0.01,,,0.01,0.01,0.03,0.01,0.01
29,0.02,0.02,0.01,0.01,,0.01,,,,0.01,0.01,0.01,0.01,0.02,0.02,0.01
30,0.02,0.02,0.01,0.01,,0.01,,,0.01,,,,,0.02,,
31,0.05,0.05,0.02,0.04,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.03,
