,Cumulative_Returns,Close,Moving_Average_3,Moving_Average_5,Square_Root_Close,Upper_Band,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Log_Close,Long_EMA,Lower_Band,Expanding_Mean,Close_Inverse
0,0.01,0.02,0.01,0.01,0.01,,0.01,0.01,,,,,,,0.01,0.02
1,0.01,0.01,0.01,,0.01,,,,,,,,,0.01,,0.01
2,0.01,0.01,0.01,0.01,,0.02,0.01,0.01,0.02,0.02,0.01,,0.01,0.01,,0.01
3,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,,0.03
4,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,0.02,,0.01
5,0.02,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,,0.01,,0.02
6,0.08,0.08,0.07,0.06,0.04,0.08,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.05,,0.08
7,0.03,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,,0.02,,0.03
8,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,,0.01,,0.02
9,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,0.02,,0.02
10,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.03
11,0.01,0.01,,,,0.02,,,0.01,0.01,0.01,,,0.03,,0.01
12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,,0.01
13,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,,0.02
14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,,0.01
15,0.03,0.03,0.03,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.03
16,0.04,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,0.04
17,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.04,,0.01
18,0.04,0.04,0.04,0.04,0.02,0.05,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.04
19,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,0.02,0.01,0.01
20,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,,0.02
21,0.01,0.01,0.01,,0.01,,,,,,,,,0.01,,0.01
22,0.03,0.03,0.03,0.03,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,0.03
23,0.01,0.01,,,,0.01,,,,,0.01,,0.01,0.01,,0.01
24,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02
25,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,,0.01
26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,,0.01
27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,,0.01
28,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.04
29,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.04
30,0.08,0.08,0.08,0.08,0.04,0.09,0.07,0.07,0.07,0.07,0.06,0.02,0.05,0.04,0.01,0.08
31,0.32,0.32,0.15,0.09,0.17,0.11,0.07,0.05,0.03,0.03,0.02,0.09,0.02,0.24,,0.4
