,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Close_Inverse,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,,,,0.02,,,,0.01
1,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.01
2,0.05,0.05,0.02,0.05,0.01,0.04,0.03,0.02,0.05,0.02,0.02,0.05,0.01,0.01,0.01,0.01
3,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.04,
4,0.02,0.02,0.01,0.01,,0.01,,,0.02,0.01,0.01,0.02,,,0.01,
5,0.03,0.03,0.01,0.02,,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.01,0.03,
6,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
7,0.02,0.02,0.01,0.01,,0.01,0.01,,0.01,0.01,0.01,0.02,,,0.01,
8,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,,,,0.02,,,,
9,0.03,0.03,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,
10,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,0.02,
11,0.04,0.04,0.02,0.03,0.01,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.02,0.02,0.03,
12,0.03,0.03,0.01,0.02,,0.02,0.03,0.03,0.01,0.03,0.03,0.03,0.03,0.02,0.05,
13,0.02,0.02,0.01,0.01,,0.01,,,,,,0.02,,0.01,0.01,
14,0.02,0.02,0.01,0.02,,0.01,0.01,,,,,0.02,,,,
15,0.04,0.04,0.02,0.02,0.01,0.02,0.01,0.01,0.01,,,0.04,0.01,,0.01,
16,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.05,
17,0.02,0.02,0.01,0.01,,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,,0.01,
18,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
19,0.03,0.03,0.01,0.03,,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.01,0.04,
20,0.03,0.03,0.01,0.02,,0.02,0.01,0.01,0.02,0.01,0.01,0.03,0.01,,,
21,0.03,0.03,0.01,0.03,,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,,0.01,
22,0.04,0.04,0.02,0.04,0.01,0.04,0.03,0.02,0.04,0.02,0.02,0.04,0.01,0.01,0.01,
23,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.02,0.04,
24,0.01,0.01,0.01,0.01,,0.01,,,,0.01,0.01,0.01,0.01,0.01,0.01,
25,0.02,0.02,0.01,0.02,,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.02,
26,0.03,0.03,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,,0.03,
27,0.05,0.05,0.03,0.05,0.01,0.04,0.02,0.02,0.05,0.02,0.02,0.05,0.01,0.01,0.01,
28,0.02,0.02,0.01,0.02,,0.02,,,0.02,0.01,0.01,0.02,0.02,0.01,0.03,
29,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.03,
30,0.03,0.03,0.01,0.02,,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,
31,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,,0.01,0.01,0.02,,,0.01,
