,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Long_EMA,Moving_Average_15,Upper_Band,Expanding_Mean
0,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,,0.01,,,0.01
1,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.03,
3,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.01
4,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01
5,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
6,0.08,0.08,0.04,0.03,0.08,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,
7,0.06,0.06,0.03,0.02,0.06,0.05,0.03,0.01,0.01,0.02,0.02,0.01,0.03,0.05,
8,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,0.02,0.01,
9,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.01,
10,0.08,0.08,0.04,0.03,0.08,0.1,0.1,0.07,0.06,0.08,0.08,0.04,0.05,0.07,0.01
11,0.04,0.04,0.02,0.01,0.04,0.04,0.05,0.03,0.02,0.04,0.04,0.01,0.01,0.04,
12,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.02,
13,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,0.01,,
14,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,,,,,0.01,0.01,
15,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,0.01,
16,0.01,0.01,,,0.01,0.01,,,,,,,,,
17,0.02,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,
18,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
19,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,,,,0.01,0.01,
20,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,
21,0.01,0.01,0.01,,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.04,
22,0.05,0.05,0.03,0.02,0.06,0.06,0.06,0.04,0.04,0.04,0.04,0.01,0.02,0.08,
23,0.01,0.01,0.01,,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,
24,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,
25,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
26,0.01,0.01,0.01,,0.01,0.01,,,,,,,,0.01,
27,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,
28,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
29,0.01,0.01,0.01,,0.01,0.01,,0.01,,0.01,0.01,,0.01,0.01,
30,0.01,0.01,0.01,,0.01,,0.01,,,,,,,,
31,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.01,,,,,0.01,
