,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,Upper_Band,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Close_Inverse,Long_EMA,Lower_Band,Expanding_Mean
0,0.04,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,,,,0.03,0.01,,0.01
1,0.01,0.01,0.01,0.01,,,0.01,,,0.01,0.01,0.01,0.01,0.01,0.03,
2,0.04,0.04,0.02,0.04,0.03,0.01,0.04,0.02,0.02,0.02,0.02,0.01,0.04,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.04,0.01
4,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
5,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,,0.02,
6,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.02,,0.01,
7,0.01,0.01,0.01,0.01,0.01,,0.01,,,,,,0.01,,,
8,0.01,0.01,0.01,0.01,0.01,,,,,,,,0.01,,,
9,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,
10,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
11,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,
12,0.04,0.04,0.02,0.04,0.04,0.01,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.01
13,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01
14,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01
15,0.02,0.02,0.01,0.02,0.02,,0.01,,,0.01,0.01,0.01,0.02,0.01,0.01,0.01
16,0.01,0.01,0.01,0.01,,,0.01,,,,,0.01,0.01,,,
17,0.03,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.03,
18,0.02,0.02,0.01,0.02,0.02,,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,
19,0.04,0.04,0.02,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.04,0.01,0.04,
20,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,
21,0.02,0.02,0.01,0.02,0.02,,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,
22,0.06,0.06,0.03,0.06,0.06,0.01,0.08,0.04,0.04,0.04,0.04,0.02,0.06,0.02,0.03,
23,0.02,0.02,0.01,0.03,0.03,0.01,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.03,
24,0.03,0.03,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.02,0.01,
25,0.05,0.05,0.02,0.05,0.05,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.04,0.01
26,0.02,0.02,0.01,0.02,0.01,,0.01,,,0.01,0.01,0.02,0.02,0.01,0.02,
27,0.02,0.02,0.01,0.01,0.01,0.01,,0.01,,,,0.01,0.03,,0.01,
28,0.01,0.01,,0.01,0.01,,0.01,,,,,,0.01,,0.01,
29,0.04,0.04,0.02,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.04,0.01,0.01,
30,0.03,0.03,0.01,0.03,0.03,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.05,0.01
31,0.02,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
