,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,,0.01,0.02,,0.01,0.01,,,,,,0.01,0.01
1,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
2,0.04,0.04,0.02,,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.05,0.02,0.02,0.02,0.01
3,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.01
4,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,0.01
5,0.02,0.02,0.01,,0.01,0.02,0.01,,,,,,,0.01,0.01,0.01
6,0.03,0.03,0.01,,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
8,0.02,0.02,0.01,,0.01,0.02,0.01,,,0.01,0.01,,0.01,,0.01,
9,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.01,
10,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,0.01,
11,0.03,0.03,0.01,,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,,,0.01,
12,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,,,,0.01,,,0.01,
13,0.01,0.01,,,,0.01,,,,,,,,,,
14,0.03,0.03,0.01,,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,
15,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.05,
16,0.05,0.05,0.03,0.01,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.05,0.01,0.02,0.02,
17,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,,0.03,
18,0.01,0.01,,,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,
19,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,,0.01,
20,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,,0.01,
21,0.03,0.03,0.02,,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,
22,0.04,0.04,0.02,,0.04,0.04,0.03,0.02,0.01,0.02,0.02,0.04,0.01,,0.01,
23,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.05,
24,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,0.01,
25,0.02,0.02,0.01,,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.04,
26,0.02,0.02,0.01,,0.02,0.02,0.01,,,,,,0.01,0.01,0.01,
27,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,,,0.01,0.01,
28,0.03,0.03,0.01,,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,
29,0.03,0.03,0.01,,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
30,0.01,0.01,,,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.01,0.02,
31,0.01,0.01,,,,0.01,,,,,,,0.01,,,
