,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Close_Inverse,Long_EMA,Lower_Band,Expanding_Mean
0,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,,0.03,0.01,,0.02
1,0.02,0.02,0.01,0.02,,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.01
2,0.06,0.06,0.03,0.05,0.01,0.04,0.02,0.02,0.02,0.02,0.05,0.01,0.06,0.01,0.02,
3,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.01,0.03,0.02,0.01,0.07,0.01
4,0.04,0.04,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.04,0.02,0.01,0.01
5,0.03,0.03,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.03,0.01,0.02,
6,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.01,
7,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.04,
8,0.02,0.02,0.01,0.01,,0.01,,,0.01,0.01,,0.01,0.02,,0.01,
9,0.02,0.02,0.01,0.01,,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,
10,0.03,0.03,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,,
11,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,
12,0.02,0.02,0.01,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01
13,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
14,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01
15,0.02,0.02,0.01,0.02,,0.01,0.01,,,,,,0.02,,,
16,0.04,0.04,0.02,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.04,0.01,0.04,0.01,0.01,
17,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,,0.02,
18,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.02,,0.02,0.01,,
19,0.05,0.05,0.03,0.05,0.01,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.04,
20,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01,
21,0.03,0.03,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,,,0.03,0.01,0.02,
22,0.03,0.03,0.01,0.04,0.01,0.04,0.03,0.03,0.03,0.03,0.04,0.01,0.03,0.01,0.04,
23,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.02,0.01,0.01,0.02,
24,0.01,0.01,,,,,,,,,,,0.01,0.01,0.01,
25,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,,
26,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.01,0.01,0.01,,0.02,,0.02,
27,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,0.02,
28,0.04,0.04,0.02,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.04,0.02,0.04,0.02,0.01,
29,0.02,0.02,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,
30,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
31,0.02,0.02,0.01,0.01,,,,,,,,,0.02,,0.01,
