,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Long_EMA,Moving_Average_15,Upper_Band,Expanding_Mean
0,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,,,,,,0.01
1,0.01,0.01,,,0.01,0.01,0.01,0.01,,,0.01,0.01,,,0.01,
2,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,,
3,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,,,,,,,,
4,0.05,0.05,0.02,0.01,0.05,0.05,0.04,0.03,0.05,0.02,0.02,0.02,0.01,0.01,0.02,
5,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,
6,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
7,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
8,0.01,0.01,,,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,,0.01,0.01,
9,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,
10,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,,,0.01,
11,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
12,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
13,0.01,0.01,,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,0.01,
14,0.02,0.02,0.01,,0.02,0.01,0.01,,,,,,,,,
15,0.01,0.01,,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,
16,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.04,0.01,0.02,0.02,0.01,0.01,0.01,
17,0.01,0.01,,,0.01,0.01,,,0.01,,,,,0.01,0.01,
18,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
19,0.03,0.03,0.01,,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,,,0.01,
20,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.02,
21,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,
22,0.05,0.05,0.03,0.01,0.05,0.04,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.03,
23,0.01,0.01,0.01,,0.01,0.01,0.02,,0.03,,0.01,0.01,,,0.04,
24,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,
25,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,,,,
26,0.01,0.01,,,0.01,,,,0.01,,,,,0.01,,
27,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
28,0.09,0.09,0.04,0.02,0.09,0.07,0.05,0.04,0.1,0.03,0.03,0.03,0.02,0.02,0.04,
29,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.05,0.01,0.03,0.03,0.02,0.03,0.08,
30,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,,0.02,0.02,
31,0.01,0.01,,,0.01,,,0.01,0.02,0.01,0.01,0.01,,0.01,,
