,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Close_Squared,Log_Close,Moving_Average_5,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Close_Cubed,Close_Inverse,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.01,0.02,0.01,0.01,0.03,,,,0.01,,,,0.04,0.01,,,0.01,
1,0.01,0.01,,0.01,0.01,,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,,0.01,0.01,0.04,0.01,,,,
3,0.02,0.02,0.01,0.02,0.05,0.01,0.02,0.01,,0.01,0.01,0.01,0.07,0.03,,0.01,0.02,
4,0.01,0.01,,0.01,0.02,,,,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,
5,0.02,0.02,0.01,0.02,0.04,,0.02,0.01,0.01,0.01,0.01,0.01,0.06,0.02,,0.01,0.02,
6,0.02,0.02,0.01,0.02,0.04,,0.01,0.01,0.02,0.01,0.01,0.01,0.05,0.02,0.01,0.01,0.02,
7,0.02,0.02,0.01,0.02,0.04,,0.01,0.01,0.02,0.01,0.01,0.01,0.07,0.02,,,,
8,0.01,0.01,0.01,0.01,0.03,,0.01,,0.01,,0.01,0.01,0.04,0.01,0.01,,0.02,
9,0.01,0.01,,0.01,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,,0.01,
10,0.01,0.01,,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,
11,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.01,0.01,,0.01,
12,0.02,0.02,0.01,0.02,0.04,,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.02,0.01,0.01,
13,0.02,0.02,0.01,0.02,0.04,,0.02,0.01,0.01,0.01,0.01,0.01,0.07,0.02,,,0.02,
14,0.01,0.01,,,0.01,,,,0.01,,,,0.02,0.01,0.01,,0.01,
15,0.02,0.02,0.01,0.02,0.05,,0.02,0.02,0.03,0.01,0.01,0.01,0.07,0.02,0.01,0.01,,
16,0.01,0.01,,,0.01,,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,
17,0.01,0.01,0.01,0.01,0.03,,0.01,,0.01,,,,0.04,0.01,,,,
18,0.01,0.01,,,0.01,,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,
19,0.01,0.01,0.01,0.01,0.03,,,,,,,,0.04,0.01,,,0.01,
20,0.01,0.01,,0.01,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,,0.01,
21,0.02,0.02,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.02,,0.01,0.01,
22,0.02,0.02,0.01,0.02,0.03,,0.02,0.02,0.02,0.01,0.02,0.02,0.05,0.02,0.01,0.01,0.03,
23,0.02,0.02,0.01,0.02,0.03,,0.02,0.01,0.02,0.01,0.01,0.01,0.04,0.02,0.02,0.01,0.01,
24,0.02,0.02,0.01,0.02,0.03,,0.02,0.01,0.02,0.01,0.01,0.01,0.05,0.02,0.01,0.01,0.01,
25,0.01,0.01,,0.01,0.02,,,,,,0.01,0.01,0.03,0.01,0.01,0.01,0.01,
26,0.01,0.01,0.01,0.01,0.02,,0.01,,,,,,0.03,0.01,,,,
27,0.03,0.03,0.01,0.03,0.06,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.08,0.03,0.01,0.01,0.01,
28,0.01,0.01,0.01,0.01,0.02,,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.01,0.03,0.02,0.06,
29,0.01,0.01,0.01,0.01,0.02,,,,,,,,0.04,0.01,,0.01,,
30,0.03,0.03,0.01,0.02,0.05,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.08,0.03,0.01,0.01,,
31,0.03,0.03,0.02,0.02,0.06,0.01,0.01,0.01,,0.01,0.01,0.01,0.09,0.03,0.01,,0.01,
