,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Moving_Average_5,Close_Squared,Log_Close,Upper_Band,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Lower_Band,Long_EMA,Close_Cubed,Close_Inverse,Expanding_Mean
0,0.03,0.03,0.01,0.02,0.02,0.05,0.01,,0.01,0.01,0.01,0.01,,0.02,0.01,0.08,0.03,0.01
1,0.03,0.03,0.01,0.02,0.02,0.05,0.01,0.01,0.01,,0.01,0.01,,,,0.08,0.03,
2,0.06,0.06,0.03,0.06,0.06,0.12,0.01,0.07,0.05,0.04,0.04,0.04,0.03,0.01,0.02,0.18,0.06,0.01
3,0.02,0.02,0.01,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.06,0.02,0.07,0.02,0.01
4,0.01,0.01,0.01,0.01,0.01,0.02,,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.01,0.01
5,0.01,0.01,,0.01,0.01,0.02,,,,,,,,0.01,0.01,0.03,0.01,0.01
6,0.03,0.03,0.02,0.03,0.03,0.06,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.09,0.03,0.01
7,0.02,0.02,0.01,0.02,0.01,0.04,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.02,0.01
8,0.01,0.01,0.01,0.01,,0.02,,,,,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.01
9,0.01,0.01,0.01,0.01,0.02,0.03,,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.01,0.01
10,0.01,0.01,0.01,0.01,0.01,0.02,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01
11,0.01,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01
12,0.01,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01
13,0.01,0.01,0.01,0.01,,0.02,,,,,,,,,,0.04,0.01,
14,0.01,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04,0.01,
15,0.02,0.02,0.01,0.02,0.01,0.05,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.02,
16,0.01,0.01,,0.01,0.01,0.02,,0.01,,,,,,0.01,,0.03,0.01,
17,0.01,0.01,0.01,0.01,0.01,0.03,,,,,,,,0.01,,0.04,0.01,
18,0.01,0.01,0.01,0.01,0.01,0.02,,,,,,,,,,0.03,0.01,
19,0.02,0.02,0.01,0.02,0.01,0.04,,0.01,0.01,0.01,,,,0.01,,0.06,0.02,
20,0.02,0.02,0.01,0.01,0.01,0.03,,0.02,0.01,0.01,0.01,0.01,0.01,,,0.05,0.02,
21,0.02,0.02,0.01,0.01,0.01,0.04,,,0.01,0.01,0.01,0.01,,0.01,,0.06,0.02,
22,0.02,0.02,0.01,0.02,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.07,0.02,
23,0.01,0.01,0.01,0.02,0.02,0.03,,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.04,0.02,
24,0.01,0.01,0.01,0.01,,0.02,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,
25,0.02,0.02,0.01,0.02,0.01,0.04,,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.06,0.02,
26,0.01,0.01,0.01,0.01,0.01,0.03,,,,,0.01,0.01,0.01,0.01,0.01,0.04,0.01,
27,0.01,0.01,,0.01,,0.02,,,,0.01,0.01,0.01,,0.01,0.01,0.03,0.01,
28,0.02,0.02,0.01,0.02,0.02,0.05,,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.07,0.02,
29,0.03,0.03,0.02,0.03,0.03,0.07,0.01,0.04,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.1,0.03,
30,0.03,0.03,0.01,0.02,0.02,0.06,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.09,0.03,
31,0.01,0.01,0.01,,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,
