,Close,Cumulative_Returns,Square_Root_Close,Log_Close,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,,0.01,0.01,,,,0.01,,0.01
1,0.05,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
2,0.02,0.02,0.01,,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01
3,0.01,0.01,0.01,,,,,,0.01,0.01,,
4,0.01,0.01,,,,,,,,0.01,,
5,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,0.01,0.01,
6,0.02,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
7,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,,
8,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,0.01,
9,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.03,
10,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,0.02,
11,0.03,0.03,0.01,,0.01,0.01,0.01,0.01,,0.01,0.03,
12,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
13,0.02,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
14,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
15,0.02,0.02,0.01,,0.01,0.01,0.01,0.01,,,0.01,
16,0.1,0.1,0.05,0.02,0.08,0.08,0.08,0.08,0.06,0.05,0.06,
17,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.04,0.02,0.05,
18,0.02,0.02,0.01,,,,,,0.01,0.01,0.01,
19,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
20,0.02,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,,
21,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.01,,,0.03,
22,0.01,0.01,,,0.01,0.01,0.02,0.02,0.02,0.01,0.01,
23,0.02,0.02,0.01,,,,0.01,0.01,,,,
24,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.01,0.01,0.01,
25,0.01,0.01,0.01,,0.02,0.02,0.03,0.03,0.02,0.02,0.04,
26,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
27,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
28,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
29,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
30,0.05,0.05,0.02,0.01,0.04,0.04,0.04,0.04,0.03,0.03,0.05,0.01
31,0.01,0.01,,,,0.01,,,0.02,0.01,0.01,
