,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Lower_Band,Long_EMA,Expanding_Mean
0,0.05,0.04,0.02,0.01,0.04,0.03,0.02,0.03,0.03,0.01,0.01,0.02,,,0.02,0.03
1,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
2,0.06,0.06,0.03,0.01,0.06,0.04,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,
3,0.02,0.02,0.01,,0.02,0.01,0.02,0.02,0.02,0.04,0.04,0.01,0.02,0.08,0.01,0.01
4,0.02,0.02,0.01,,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,0.06,0.06,0.03,0.01,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,
6,0.04,0.04,0.02,0.01,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,
7,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,
8,0.04,0.04,0.02,0.01,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,,
9,0.07,0.07,0.03,0.01,0.07,0.06,0.05,0.03,0.03,0.02,0.02,0.01,0.01,0.05,0.01,
10,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.01,
11,0.05,0.05,0.02,0.01,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.04,0.01,0.01,0.01,
12,0.02,0.02,0.01,,0.02,0.01,0.01,,,0.01,0.01,0.01,0.01,0.02,,
13,0.05,0.05,0.02,0.01,0.05,0.05,0.04,0.03,0.03,0.04,0.04,0.02,0.03,0.05,0.02,
14,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,
15,0.06,0.06,0.03,0.01,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.07,0.04,0.03,0.02,
16,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.01,
17,0.03,0.03,0.02,0.01,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.04,,
18,0.03,0.03,0.02,0.01,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,,
19,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,
20,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,
21,0.09,0.09,0.04,0.02,0.09,0.07,0.05,0.04,0.04,0.03,0.03,0.01,0.03,0.09,0.03,
22,0.08,0.08,0.04,0.02,0.09,0.08,0.08,0.03,0.03,0.02,0.02,0.02,0.01,0.03,0.01,
23,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.01,
24,0.02,0.02,0.01,,0.02,0.01,,0.01,0.01,0.01,0.01,,0.01,0.02,0.01,
25,0.05,0.05,0.02,0.01,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.06,0.02,0.03,0.03,
26,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,
27,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,0.01,
28,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.04,0.02,
29,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
30,0.01,0.01,0.01,,0.01,,,,,0.01,0.01,0.03,0.01,0.01,,
31,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,,,0.01,,0.02,,
