,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Close_Inverse,Expanding_Mean
0,0.03,0.04,0.02,0.03,0.02,0.01,0.01,,0.01,,,,,0.03,0.01
1,0.01,0.01,0.01,,,,,0.01,,0.01,0.01,0.01,,0.01,
2,0.02,0.02,0.01,0.02,0.02,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,
3,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.02,
4,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
5,0.02,0.02,0.01,0.02,0.01,,0.01,,0.01,0.01,0.01,,,0.02,
6,0.02,0.02,0.01,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,
7,0.01,0.01,,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,
8,0.01,0.01,0.01,0.01,0.01,,0.01,,,,,,,0.01,
9,0.01,0.01,0.01,0.01,0.01,,,,,,,,,0.01,
10,0.02,0.02,0.01,0.01,0.01,,,,,,,,,0.02,
11,0.08,0.08,0.04,0.06,0.05,0.01,0.04,0.08,0.04,0.04,0.04,0.03,0.02,0.08,
12,0.04,0.04,0.02,0.03,0.02,0.01,0.03,0.02,0.03,0.04,0.04,0.05,0.03,0.04,0.01
13,0.02,0.02,0.01,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01
14,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,0.01
15,0.01,0.01,,,,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01
16,0.03,0.03,0.02,0.02,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,0.01
17,0.02,0.02,0.01,0.01,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,,0.02,
18,0.03,0.03,0.01,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,
19,0.02,0.02,0.01,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,
20,0.03,0.03,0.02,0.02,0.02,,0.01,0.02,0.01,0.01,0.01,,,0.03,
21,0.03,0.03,0.01,0.02,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,
22,0.04,0.04,0.02,0.03,0.03,0.01,0.02,0.03,0.02,0.01,0.01,,0.01,0.04,
23,0.01,0.01,0.01,0.01,0.02,,0.02,0.01,0.02,0.03,0.03,0.03,0.02,0.01,
24,0.02,0.02,0.01,0.02,0.02,,0.01,0.02,0.01,0.02,0.02,0.01,,0.02,
25,0.03,0.03,0.02,0.05,0.07,,0.05,0.07,0.05,0.06,0.06,0.03,0.03,0.03,0.01
26,0.03,0.03,0.01,0.03,0.02,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
27,0.06,0.06,0.03,0.05,0.04,0.01,0.03,0.05,0.03,0.03,0.03,0.01,0.02,0.05,0.01
28,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01
29,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01
30,0.04,0.04,0.02,0.03,0.03,,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.03,0.01
31,0.01,0.01,0.01,0.02,0.02,,0.01,0.01,0.01,0.01,0.01,,,0.01,
