,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Moving_Average_5,Close_Cubed,Close_Inverse,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,,0.04,0.01,0.01,0.05,0.02,0.01,0.01,,,,,,,0.01
1,0.01,0.01,,,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
2,0.02,0.02,0.01,,0.04,0.02,0.02,0.06,0.02,0.01,0.01,0.02,0.01,0.01,,,,
3,0.01,0.01,0.01,,0.02,0.01,0.01,0.04,0.01,,,,,,0.01,,0.01,
4,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
5,0.03,0.03,0.01,0.01,0.05,0.02,0.02,0.08,0.03,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,
6,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.01,,,0.01,,0.01,
7,0.02,0.02,0.01,,0.04,0.01,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,
8,0.01,0.01,0.01,,0.03,0.02,0.01,0.04,0.01,0.01,,,,,,,,
9,0.02,0.02,0.01,,0.04,0.02,0.02,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
10,0.01,0.01,,,0.01,,,0.02,0.01,,,0.01,,,0.01,,0.01,
11,0.02,0.02,0.01,,0.03,0.01,,0.05,0.02,,,0.01,,,,,0.01,
12,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.07,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
13,0.01,0.01,0.01,,0.02,0.01,0.01,0.04,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,
14,0.01,0.01,,,0.02,0.01,0.01,0.03,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,
15,0.02,0.02,0.01,0.01,0.05,0.02,0.01,0.07,0.02,0.01,0.01,0.02,,,0.01,0.01,0.01,
16,0.01,0.01,,,0.01,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
17,0.01,0.01,,,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
18,0.01,0.01,0.01,,0.02,0.01,0.01,0.03,0.01,,,0.01,0.01,0.01,,,0.01,
19,0.02,0.02,0.01,,0.04,0.02,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
20,0.01,0.01,,,0.02,0.01,,0.03,0.01,,,0.01,,,0.01,,,
21,0.02,0.02,0.01,,0.04,0.02,0.02,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
22,0.03,0.03,0.01,0.01,0.05,0.03,0.03,0.08,0.03,0.02,0.01,0.03,0.02,0.02,,0.01,0.01,
23,0.01,0.01,0.01,,0.03,0.02,0.02,0.04,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
24,0.01,0.01,0.01,,0.02,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
25,0.02,0.02,0.01,,0.03,0.02,0.02,0.05,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,
26,0.02,0.02,0.01,,0.04,0.02,0.02,0.07,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
27,0.02,0.02,0.01,,0.03,0.01,0.01,0.05,0.02,,,0.01,,,,,0.01,
28,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.03,
29,0.01,0.01,0.01,,0.02,0.01,,0.03,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,
30,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,
31,0.02,0.02,0.01,,0.04,0.01,0.01,0.06,0.02,,,,,,,,0.01,
