,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.03,0.01,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.01,,0.01,,0.02
1,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,
2,0.01,0.01,0.01,,0.01,0.01,,,,,,,,,,
3,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.02,0.02,0.01,0.01,0.01
4,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,0.01,0.02,0.01
5,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.03,
6,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
7,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,,0.01,0.01,0.01,,,0.01,
8,0.01,0.01,,,,0.01,,,,,0.01,0.01,0.01,,0.02,
9,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,0.01,
10,0.03,0.03,0.02,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.01,0.04,
11,0.01,0.01,,,,0.01,0.01,,,,0.01,0.01,0.01,,0.02,
12,0.02,0.02,0.01,,0.01,0.02,0.01,,,0.01,,,0.01,,0.01,
13,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,,,,,,0.01,
14,0.01,0.01,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,
15,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,,,0.01,
16,0.04,0.04,0.02,0.01,0.03,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.04,
17,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,
18,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,
19,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,,,,,0.01,,0.01,
20,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
21,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,,,0.01,
22,0.08,0.08,0.04,0.02,0.08,0.09,0.08,0.05,0.04,0.09,0.04,0.04,0.02,0.02,0.04,
23,0.02,0.02,0.01,,0.02,0.02,0.02,0.03,0.03,0.01,0.03,0.03,0.04,0.03,0.07,
24,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,
25,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,0.03,
26,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.03,
27,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,
28,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
29,0.02,0.02,0.01,,0.01,0.02,0.01,,,,0.01,0.01,0.01,0.01,0.01,
30,0.02,0.02,0.01,,0.01,0.02,0.01,,,,,,,,,
31,0.07,0.07,0.04,0.02,0.04,0.08,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.04,
