,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Moving_Average_5,Log_Close,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Close_Inverse,Upper_Band,Long_EMA,Expanding_Mean
0,0.02,0.02,0.01,0.01,,,,,,,,,0.02,,,
1,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
2,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,,
3,0.01,0.01,0.01,0.02,0.02,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,,
4,0.01,0.01,0.01,0.01,0.01,,,,,,,0.01,0.01,,,
5,0.03,0.03,0.01,0.01,0.01,,0.01,0.01,,,,,0.03,0.01,,
6,0.04,0.04,0.02,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.04,0.03,0.01,
7,0.02,0.02,0.01,0.01,0.01,,0.01,0.05,0.01,0.02,0.02,0.02,0.02,0.01,0.01,
8,0.01,0.01,,,,,,0.01,,,,,0.01,,,
9,0.01,0.01,,0.01,0.01,,,,,,,,0.01,,,
10,0.01,0.01,0.01,0.01,0.01,,,,,,,,0.01,0.01,,
11,0.06,0.06,0.03,0.05,0.04,0.01,0.03,0.06,0.03,0.03,0.03,0.02,0.06,0.01,0.02,
12,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.04,0.01,
13,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
14,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,,
15,0.01,0.01,0.01,0.01,0.01,,0.01,,0.01,,,,0.01,,,
16,0.08,0.08,0.04,0.07,0.05,0.01,0.04,0.09,0.04,0.04,0.04,0.03,0.08,0.01,0.02,
17,0.07,0.07,0.04,0.07,0.07,0.01,0.07,0.06,0.07,0.08,0.08,0.07,0.07,0.09,0.05,0.01
18,0.05,0.05,0.03,0.04,0.03,0.01,0.03,0.03,0.03,0.02,0.02,0.03,0.05,0.02,0.03,0.01
19,0.05,0.05,0.02,0.05,0.04,0.01,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.05,0.04,0.01
20,0.08,0.08,0.04,0.06,0.05,0.02,0.04,0.07,0.04,0.03,0.03,0.03,0.08,0.01,0.04,0.01
21,0.04,0.04,0.02,0.04,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.04,0.03,0.02,0.01
22,0.08,0.08,0.04,0.08,0.07,0.02,0.04,0.03,0.03,0.03,0.03,0.02,0.08,0.06,0.01,0.01
23,0.04,0.04,0.02,0.05,0.05,0.01,0.05,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.03,
24,0.02,0.02,0.01,0.01,0.01,,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.01,0.03,
25,0.04,0.04,0.02,0.03,0.04,0.01,0.03,0.01,0.03,0.03,0.03,0.02,0.04,0.04,0.03,
26,0.05,0.05,0.02,0.04,0.04,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.05,0.01,0.01,
27,0.01,0.01,0.01,0.01,,,,0.02,,0.01,0.01,0.01,0.01,0.03,,
28,0.02,0.02,0.01,0.01,0.02,,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,
29,0.02,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,
30,0.03,0.03,0.02,0.03,0.04,0.01,0.03,0.05,0.03,0.04,0.04,0.03,0.03,0.05,0.02,
31,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,
