,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Moving_Average_3,Moving_Average_5,Close_Inverse,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.03,0.01,0.05,0.01,0.01,0.01,0.03,0.01,0.01,,0.01,0.01,,0.01,0.01,0.01
1,0.01,0.01,,0.02,,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01
2,0.03,0.03,0.02,0.06,0.01,0.03,0.02,0.03,0.01,0.01,0.03,0.01,0.01,0.01,,0.01,
3,0.02,0.02,0.01,0.04,,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.03,
4,0.02,0.02,0.01,0.04,,0.02,0.01,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,
5,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
6,0.02,0.02,0.01,0.04,,0.02,0.01,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,
7,0.03,0.03,0.01,0.06,0.01,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.01,,,,
8,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,,,,0.01,0.01,0.01,,0.02,
9,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,,,,,,,,0.01,
10,0.02,0.02,0.01,0.04,,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.04,
11,0.02,0.02,0.01,0.03,,0.01,0.01,0.02,0.01,,,0.01,0.01,0.01,,0.01,
12,0.02,0.02,0.01,0.04,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
13,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
14,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
15,0.01,0.01,,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
16,0.04,0.04,0.02,0.08,0.01,0.03,0.02,0.04,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,
17,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.04,
18,0.01,0.01,,0.01,,,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.02,
19,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,,,,,,,,0.01,
20,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
21,0.03,0.03,0.01,0.05,,0.02,0.02,0.03,0.02,0.01,,0.01,0.01,0.01,0.01,0.02,
22,0.02,0.02,0.01,0.04,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,
23,0.02,0.02,0.01,0.03,,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
24,0.01,0.01,0.01,0.03,,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,
25,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
26,0.02,0.02,0.01,0.04,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
27,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
28,0.02,0.02,0.01,0.04,,0.02,0.02,0.02,0.01,0.01,,0.01,0.01,,,0.01,
29,0.01,0.01,0.01,0.02,,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,,
30,0.01,0.01,,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
31,0.02,0.02,0.01,0.03,,0.01,0.01,0.02,,,,,,,,0.01,
