,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Close_Squared,Log_Close,Moving_Average_5,EMA,Short_EMA,Close_Inverse,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,0.01,0.04,,0.01,0.01,,0.02,,,,,,,0.01
1,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,,0.01,
2,0.03,0.03,0.02,0.03,0.06,0.01,0.03,0.02,0.02,0.03,0.02,0.02,0.04,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.03,,0.01,,,0.01,,,0.01,0.01,,0.01,
4,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
5,0.01,0.01,,0.01,0.02,,,,,0.01,,,,0.01,,0.01,
6,0.04,0.04,0.02,0.03,0.09,0.01,0.03,0.02,0.01,0.04,0.01,0.01,0.02,0.01,0.01,0.03,
7,0.03,0.03,0.01,0.02,0.06,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.03,0.01,,0.02,
8,0.02,0.02,0.01,0.02,0.04,,0.01,0.01,,0.02,,,,,,,
9,0.02,0.02,0.01,0.01,0.04,,0.01,0.01,,0.02,,,0.01,0.01,,0.01,
10,0.02,0.02,0.01,0.01,0.03,,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,
11,0.02,0.02,0.01,0.01,0.03,,0.01,,,0.02,,,0.01,0.01,,0.01,
12,0.04,0.04,0.02,0.03,0.07,0.01,0.03,0.02,0.02,0.04,0.02,0.02,0.03,0.01,0.01,0.02,
13,0.01,0.01,,0.01,0.02,,,,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,
14,0.02,0.02,0.01,0.01,0.03,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,,
15,0.01,0.01,0.01,0.01,0.03,,0.01,,,0.01,,,,,,0.01,
16,0.02,0.02,0.01,0.02,0.04,,0.02,0.01,0.01,0.02,0.01,0.01,0.02,,0.01,0.01,
17,0.02,0.02,0.01,0.01,0.03,,0.01,,,0.02,,,,0.01,,,
18,0.01,0.01,,,0.02,,,,,0.01,0.01,0.01,,0.01,0.01,0.02,
19,0.02,0.02,0.01,0.02,0.04,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,
20,0.02,0.02,0.01,0.01,0.04,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,
21,0.04,0.04,0.02,0.04,0.08,0.01,0.04,0.02,0.02,0.04,0.02,0.02,0.01,0.01,0.01,0.04,
22,0.04,0.04,0.02,0.04,0.08,0.01,0.04,0.03,0.02,0.04,0.02,0.02,0.04,0.01,0.01,0.02,
23,0.01,0.01,0.01,0.01,0.02,,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.04,
24,0.02,0.02,0.01,0.01,0.03,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,
25,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
26,0.02,0.02,0.01,0.01,0.03,,0.01,,,0.02,,,,0.01,0.01,0.01,
27,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
28,0.03,0.03,0.01,0.02,0.05,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.01,,
29,0.02,0.02,0.01,0.02,0.05,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
30,0.01,0.01,,,0.01,,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,
31,0.02,0.02,0.01,0.01,0.04,,,,,0.02,,,,,,0.01,
