,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean
0,0.03,0.04,0.02,0.03,0.01,0.01,0.03,0.02,0.01,0.01,,0.01,0.02,0.03
1,0.01,0.01,0.01,0.01,,0.01,,0.01,,,,0.01,0.01,
2,0.04,0.04,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,
3,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
4,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01
5,0.01,0.01,0.01,0.01,,,,,,,,,0.01,
6,0.1,0.1,0.05,0.09,0.02,0.07,0.05,0.04,0.03,0.03,0.02,0.02,0.04,
7,0.04,0.04,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.02,0.09,
8,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,,0.01,
9,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,
10,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
11,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
12,0.04,0.04,0.02,0.04,0.01,0.04,0.04,0.03,0.04,0.04,0.03,0.02,0.04,
13,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,
14,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
15,0.01,0.01,,,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,
16,0.03,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
17,0.02,0.02,0.01,0.01,,0.01,0.01,,0.01,0.01,,,0.02,
18,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
19,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,
20,0.01,0.01,0.01,0.01,,0.01,0.01,,0.01,0.01,0.01,,0.01,
21,0.03,0.03,0.02,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,
22,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,
23,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
24,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
25,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
26,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,,,,0.01,0.01,
27,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
28,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
29,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
30,0.01,0.01,0.01,0.01,,,,,,,0.01,0.01,0.01,
31,,,,,,,,,,,,,0.01,
