,Cumulative_Returns,Close,Moving_Average_3,Square_Root_Close,Moving_Average_5,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Log_Close,Long_EMA,Lower_Band,Close_Inverse,Expanding_Mean
0,0.03,0.03,0.02,0.02,0.01,0.01,,0.01,,,,0.01,0.01,,0.03,0.01
1,0.02,0.02,0.01,0.01,,,0.01,,,,,,,0.01,0.02,
2,0.03,0.03,0.04,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.03,0.01
3,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.04,0.01
4,0.1,0.1,0.09,0.05,0.1,0.08,0.12,0.08,0.08,0.08,0.07,0.02,0.06,0.07,0.1,0.03
5,0.02,0.02,0.02,0.01,0.02,0.01,0.04,,0.02,0.02,0.02,,0.01,0.02,0.02,0.01
6,0.05,0.05,0.04,0.02,0.03,0.03,0.04,0.02,0.03,0.03,0.01,0.01,0.02,0.02,0.05,0.01
7,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.03,0.03,,0.02,0.06,0.02,0.01
8,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,,0.02,0.02,0.02,0.01
9,0.05,0.05,0.03,0.03,0.01,0.01,0.03,0.01,,,0.01,0.01,0.01,0.02,0.05,0.01
10,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.02,0.02,,0.02,0.07,0.01,0.01
11,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.03,0.01
12,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,,0.02,0.04,0.01,0.01
13,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,,0.02,0.03,0.01,0.01
14,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.02,,0.03,0.01
15,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01
16,0.02,0.02,0.02,0.01,0.01,,0.01,,0.01,0.01,,,0.01,0.03,0.02,0.01
17,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.01,0.03,0.02,0.01
18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,0.01,0.01,0.01
19,0.01,0.01,0.01,0.01,0.01,,,,,,0.01,,,,0.01,0.01
20,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01
21,0.04,0.04,0.03,0.02,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,,0.02,0.04,
22,0.03,0.03,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,,,0.01,0.01,0.03,
23,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,,0.01,0.03,0.01,
24,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,,0.03,0.02,
25,0.03,0.03,0.03,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.03,
26,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,0.02,
27,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,0.01,0.03,0.02,0.01
28,0.09,0.09,0.08,0.04,0.07,0.05,0.1,0.05,0.04,0.04,0.04,0.01,0.04,0.03,0.09,0.01
29,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.02,0.03,0.03,0.04,,0.03,0.09,0.02,0.01
30,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,0.02,0.01,0.02,0.01
31,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,0.02,0.04,
