,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.04,0.04,0.02,0.01,0.02,0.04,0.01,0.03,0.02,0.01,0.01,0.01,,0.02,,0.03
1,0.02,0.02,0.01,,0.02,0.02,0.03,0.02,0.02,0.04,0.02,0.02,0.01,0.02,0.02,0.01
2,0.03,0.03,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
3,0.03,0.03,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
4,0.03,0.03,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.01,,,0.01,
5,0.02,0.02,0.01,,0.01,0.02,0.01,,,0.01,0.01,0.01,,,,
6,0.05,0.05,0.02,0.01,0.04,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.04,
7,0.03,0.03,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.01,
8,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,,,,0.01,,0.01,
9,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
10,0.05,0.05,0.02,0.01,0.05,0.05,0.04,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.05,
11,0.08,0.08,0.04,0.02,0.09,0.09,0.09,0.06,0.05,0.1,0.06,0.06,0.03,0.03,0.04,
12,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.04,0.02,0.04,
13,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
14,0.04,0.04,0.02,0.01,0.03,0.04,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,
15,0.05,0.05,0.02,0.01,0.04,0.05,0.03,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
16,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.04,0.02,0.02,0.02,0.01,,
17,0.06,0.06,0.03,0.01,0.05,0.06,0.04,0.03,0.02,0.05,0.02,0.02,0.01,0.01,0.02,
18,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.02,0.07,
19,0.02,0.02,0.01,,0.01,0.02,0.01,,,0.01,,,0.01,0.01,,
20,0.02,0.02,0.01,,0.01,0.02,,,,0.01,,,,,0.01,
21,0.06,0.06,0.03,0.01,0.05,0.06,0.04,0.03,0.03,0.01,0.03,0.03,0.02,0.02,0.05,
22,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
23,0.08,0.08,0.04,0.02,0.08,0.09,0.07,0.05,0.04,0.08,0.03,0.03,0.03,0.02,0.03,
24,0.02,0.02,0.01,,0.01,0.02,0.02,0.03,0.03,0.01,0.04,0.04,0.04,0.02,0.09,
25,0.03,0.03,0.01,,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,
26,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
27,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,
28,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
29,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.03,
30,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
31,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,
