,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.03,0.03,0.02,0.02,0.04,0.02,0.01,0.02,0.02,,,,0.01,,0.02
1,0.09,0.09,0.04,0.05,0.08,0.09,0.1,0.07,0.06,0.07,0.07,0.04,0.04,0.12,0.03
2,0.05,0.05,0.02,0.03,0.05,0.05,0.04,0.02,0.01,0.02,0.02,0.03,0.01,0.01,0.01
3,0.05,0.05,0.02,0.02,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.04,0.02,0.05,0.01
4,0.05,0.05,0.03,0.03,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.01
5,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,,0.02,
6,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.06,0.01
7,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
8,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
9,0.04,0.04,0.02,0.02,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01
10,0.09,0.09,0.04,0.04,0.09,0.07,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.08,0.01
11,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.03,0.01,0.04,
12,0.04,0.04,0.02,0.02,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
13,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.03,
14,0.06,0.06,0.03,0.03,0.06,0.05,0.03,0.02,0.02,0.01,0.01,,0.01,0.03,
15,0.03,0.03,0.02,0.01,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.08,0.01
16,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01
17,0.03,0.03,0.02,0.01,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.02,0.04,
18,0.05,0.05,0.02,0.02,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,
19,0.04,0.04,0.02,0.02,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,
20,0.04,0.04,0.02,0.02,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
21,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
22,0.06,0.06,0.03,0.03,0.06,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.02,
23,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.05,
24,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,,,0.01,0.01,0.01,
25,0.08,0.08,0.04,0.04,0.09,0.09,0.09,0.07,0.07,0.07,0.07,0.05,0.05,0.04,
26,0.04,0.04,0.02,0.02,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0.03,0.01,0.05,
27,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,
28,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.01,0.01,0.03,
29,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,,,,0.01,,0.01,
30,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,
31,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,0.01,0.01,,,0.01,
