,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,0.01,0.02
1,0.02,0.02,0.01,,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.01
2,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.03,0.01,,0.01,
3,0.05,0.05,0.02,0.01,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.01
4,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.04,0.01
5,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.03,
6,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,
7,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,,0.03,
8,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,,,,,0.01,
9,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,
10,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.01,0.02,0.02,0.05,
11,0.04,0.04,0.02,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
12,0.03,0.03,0.02,0.01,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.02,0.03,0.01,0.06,
13,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
14,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,,,,0.01,0.01,,0.01,
15,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.03,
16,0.06,0.06,0.03,0.01,0.05,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.04,
17,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.05,0.03,0.02,0.01,
18,0.03,0.03,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,,,0.01,
19,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
20,0.01,0.01,,,0.01,0.01,,,,,,0.01,,,0.01,
21,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,,0.02,
22,0.05,0.05,0.02,0.01,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.05,0.01,0.02,0.02,
23,0.01,0.01,0.01,,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.04,
24,0.02,0.02,0.01,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
25,0.02,0.02,0.01,,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03,
26,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
27,0.05,0.05,0.02,0.01,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.04,0.01,0.01,0.01,
28,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.01,,0.02,
29,0.01,0.01,0.01,,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,,0.01,0.03,
30,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.04,0.02,0.02,0.01,
31,0.02,0.02,0.01,,0.01,0.02,0.01,,,0.01,0.01,0.01,0.01,0.01,0.03,
