,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.04,0.02,0.01,0.04,0.02,0.01,0.03,0.03,0.01,0.01,0.03,,0.02,0.02,0.03
1,0.02,0.02,0.01,,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01
2,0.02,0.02,0.01,,0.02,0.01,,,,,,0.01,0.01,0.01,,
3,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,,,
4,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,
5,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
6,0.03,0.03,0.01,,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,
7,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
8,0.01,0.01,,,0.01,0.01,0.01,,,,,,0.01,,0.01,
9,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,,,0.01,,,,
10,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,0.01,
11,0.01,0.01,0.01,,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,
12,0.05,0.05,0.02,0.01,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.07,0.03,0.02,0.09,
13,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,
14,0.03,0.03,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
15,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.01,
16,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
17,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
18,0.06,0.06,0.03,0.01,0.06,0.06,0.06,0.05,0.04,0.05,0.05,0.08,0.03,0.02,0.04,
19,0.02,0.02,0.01,,0.02,0.02,0.03,0.01,0.01,0.02,0.02,0.03,0.01,,0.02,
20,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,,0.01,
21,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,,0.01,0.03,
22,0.06,0.06,0.03,0.01,0.07,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.04,
23,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.05,0.01,0.01,0.02,
24,0.02,0.02,0.01,,0.02,0.01,0.01,,,,,0.01,0.01,0.01,0.01,
25,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,,,
26,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
27,0.02,0.02,0.01,,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.04,
28,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,,,0.01,0.01,0.01,,
29,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.03,
30,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
31,0.03,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.01,,,0.01,,,0.01,
