,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Moving_Average_5,Close_Squared,Log_Close,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Close_Inverse,Lower_Band,Expanding_Mean
0,0.02,0.02,0.01,0.01,0.01,0.04,,0.01,0.01,,0.01,0.01,,0.01,0.02,0.01,0.01
1,0.01,0.01,0.01,0.01,0.02,0.02,,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.01
2,0.03,0.03,0.01,0.02,0.02,0.05,,0.01,0.01,0.02,0.01,0.01,0.01,,0.03,0.01,
3,0.02,0.02,0.01,0.02,0.02,0.05,,0.01,0.01,,,,,,0.03,,
4,0.03,0.03,0.02,0.03,0.03,0.07,0.01,0.02,0.02,0.04,0.03,0.03,0.02,0.01,0.03,0.03,0.01
5,0.03,0.03,0.01,0.02,0.02,0.05,,0.01,0.01,0.01,0.01,0.01,0.01,,0.03,0.02,
6,0.03,0.03,0.01,0.02,0.02,0.05,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,
7,0.01,0.01,0.01,0.01,,0.02,,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
8,0.03,0.03,0.01,0.02,0.01,0.05,,0.01,0.01,0.01,,,,,0.03,0.01,
9,0.04,0.04,0.02,0.03,0.02,0.08,0.01,0.02,0.02,0.03,0.03,0.03,0.02,0.01,0.04,0.03,
10,0.01,0.01,0.01,0.01,0.01,0.02,,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.05,
11,0.02,0.02,0.01,0.02,0.01,0.04,,0.01,0.01,0.01,0.01,0.01,,,0.02,0.01,
12,0.04,0.04,0.02,0.04,0.04,0.07,0.01,0.03,0.02,0.04,0.03,0.03,0.01,0.02,0.04,0.02,
13,0.02,0.02,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,
14,0.02,0.02,0.01,0.02,0.01,0.04,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,
15,0.03,0.03,0.02,0.02,0.01,0.07,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.02,
16,0.01,0.01,,0.01,0.02,0.02,,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.07,0.01
17,0.02,0.02,0.01,0.02,0.02,0.05,,0.01,0.01,0.01,0.02,0.02,0.01,,0.02,0.03,
18,0.02,0.02,0.01,0.02,0.02,0.04,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.03,0.01
19,0.01,0.01,0.01,0.01,0.01,0.03,,0.01,,0.01,0.01,0.01,,,0.01,0.01,
20,0.02,0.02,0.01,0.02,0.01,0.04,,0.01,0.01,0.01,,,,,0.02,,
21,0.04,0.04,0.02,0.04,0.04,0.07,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.04,0.04,
22,0.03,0.03,0.01,0.03,0.04,0.05,,0.02,0.02,0.03,0.03,0.03,0.01,0.01,0.03,0.04,
23,0.02,0.02,0.01,0.02,0.02,0.03,,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,
24,0.02,0.02,0.01,0.01,0.01,0.04,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,
25,0.02,0.02,0.01,0.02,0.02,0.03,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,
26,0.02,0.02,0.01,0.01,0.01,0.03,,,,,,,0.01,0.01,0.02,0.01,
27,0.02,0.02,0.01,0.01,0.01,0.03,,,,0.01,,,,,0.02,,
28,0.02,0.02,0.01,0.02,0.02,0.05,,0.01,0.01,,0.01,0.01,,,0.02,0.02,
29,0.02,0.02,0.01,0.01,0.01,0.03,,0.01,0.01,,0.01,0.01,,0.01,0.02,0.03,
30,0.01,0.01,0.01,0.01,0.02,0.02,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,
31,0.04,0.04,0.02,0.02,0.02,0.08,0.01,0.01,0.01,0.02,0.01,0.01,,,0.04,0.03,
