,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Lower_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Expanding_Mean
0,0.05,0.05,0.03,0.01,0.05,0.04,0.03,0.02,0.03,0.01,0.01,0.01,,0.01,0.01
1,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.02
2,0.11,0.11,0.06,0.03,0.11,0.1,0.09,0.06,0.04,0.05,0.05,0.05,0.03,0.02,0.01
3,0.02,0.02,0.01,,0.02,0.02,0.01,0.02,0.11,0.02,0.04,0.04,0.04,0.02,0.01
4,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,,0.01,0.01,0.01,0.01,0.02,0.01
5,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,0.01,0.01,,,0.01
6,0.08,0.08,0.04,0.02,0.08,0.06,0.04,0.03,0.05,0.02,0.02,0.02,0.01,0.01,0.01
7,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.05,0.05,0.05,0.02,
8,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,,0.01,
9,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,,,
10,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
11,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,
12,0.04,0.04,0.02,0.01,0.04,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,
13,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.02,0.02,
14,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
15,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.01,,,,0.01,
16,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
17,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,
18,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
19,0.03,0.03,0.02,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,
20,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
21,0.06,0.06,0.03,0.02,0.06,0.06,0.05,0.04,0.07,0.04,0.04,0.04,0.03,0.03,
22,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,
23,0.01,0.01,0.01,,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,
24,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,,,0.01,0.01,
25,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,
26,0.03,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,,,
27,0.06,0.06,0.03,0.01,0.05,0.05,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.01,
28,0.02,0.02,0.01,,0.02,0.01,0.01,,0.04,,0.01,0.01,0.01,,
29,0.03,0.03,0.02,0.01,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,
30,0.01,0.01,0.01,,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,
31,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
