,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Long_EMA,Upper_Band,Lower_Band,Expanding_Mean
0,0.04,0.04,0.02,0.02,0.02,0.04,0.01,0.02,0.02,0.01,0.01,,0.01,,0.02,0.02
1,0.03,0.03,0.02,0.01,0.04,0.03,0.05,0.04,0.04,0.05,0.05,0.03,0.03,0.07,0.06,0.02
2,0.11,0.11,0.06,0.04,0.11,0.11,0.11,0.08,0.07,0.08,0.08,0.04,0.03,0.14,0.04,0.02
3,0.07,0.07,0.04,0.02,0.05,0.07,0.04,0.05,0.05,0.05,0.05,0.06,0.04,0.04,0.09,0.02
4,0.04,0.04,0.02,0.01,0.03,0.04,0.02,0.03,0.03,0.04,0.04,0.04,0.03,0.01,0.07,0.02
5,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.01,,0.02,0.01,0.02,0.01
6,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.01
7,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,,0.01,0.02,
8,0.04,0.04,0.02,0.01,0.03,0.04,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.02,
9,0.05,0.05,0.02,0.02,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.04,
10,0.03,0.03,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,
11,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,
12,0.09,0.09,0.05,0.03,0.09,0.09,0.08,0.05,0.04,0.04,0.04,0.02,0.02,0.09,0.03,
13,0.03,0.03,0.02,0.01,0.04,0.03,0.05,0.02,0.02,0.03,0.03,0.01,0.01,0.04,0.03,
14,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.03,
15,0.03,0.03,0.01,0.01,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,,0.01,,
16,0.05,0.05,0.03,0.02,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.02,0.02,0.06,0.02,
17,0.03,0.03,0.01,0.01,0.03,0.03,0.04,0.02,0.02,0.03,0.03,0.01,0.01,0.04,0.02,
18,0.07,0.07,0.03,0.02,0.06,0.07,0.05,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.07,
19,0.04,0.04,0.02,0.01,0.03,0.04,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.03,
20,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.01,
21,0.04,0.04,0.02,0.02,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,
22,0.08,0.08,0.04,0.03,0.07,0.08,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.06,0.04,
23,0.03,0.03,0.01,0.01,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,,0.05,0.04,
24,0.03,0.03,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,
25,0.04,0.04,0.02,0.01,0.03,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.04,0.02,
26,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,,0.03,0.01,
27,0.02,0.02,0.01,0.01,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.01,0.03,0.03,
28,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
29,0.04,0.04,0.02,0.02,0.02,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,
30,0.03,0.03,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.06,0.03,
31,0.04,0.04,0.02,0.02,0.03,0.04,0.01,0.01,0.01,,,0.01,0.01,,0.01,
