,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Moving_Average_5,EMA,Close_Inverse,Short_EMA,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.03,0.02,0.01,0.01,0.05,0.02,0.02,0.02,0.03,0.02,,,0.01,,0.01,,0.02
1,0.02,0.02,0.01,,0.03,0.01,0.01,,0.02,,0.01,0.01,0.01,,,0.01,
2,0.01,0.01,0.01,,0.03,0.01,,,0.01,,,,,,,,
3,0.03,0.03,0.01,0.01,0.06,0.03,0.02,0.02,0.03,0.01,0.01,0.01,0.03,0.01,0.01,,
4,0.04,0.04,0.02,0.01,0.07,0.03,0.03,0.02,0.04,0.01,0.02,0.02,0.02,,0.01,0.03,
5,0.03,0.03,0.01,0.01,0.05,0.03,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,,0.01,
6,0.05,0.05,0.02,0.01,0.09,0.04,0.03,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.02,
7,0.03,0.03,0.01,0.01,0.06,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.03,0.02,0.01,0.01,
8,0.03,0.03,0.01,0.01,0.05,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.03,
9,0.02,0.02,0.01,,0.04,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,,,0.02,
10,0.02,0.02,0.01,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,
11,0.02,0.02,0.01,,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,,,
12,0.03,0.03,0.01,0.01,0.05,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
13,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.03,
14,0.03,0.03,0.01,0.01,0.06,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.01,0.01,
15,0.04,0.04,0.02,0.01,0.07,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.01,
16,0.02,0.02,0.01,,0.04,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,
17,0.01,0.01,,,0.01,,,,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,
18,0.03,0.03,0.02,0.01,0.07,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.03,0.01,0.01,0.01,
19,0.01,0.01,0.01,,0.02,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,
20,0.04,0.04,0.02,0.01,0.09,0.04,0.04,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.05,
21,0.02,0.02,0.01,,0.04,0.01,0.01,0.01,0.02,,0.01,0.01,0.01,0.01,,0.01,
22,0.02,0.02,0.01,,0.04,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,
23,0.02,0.02,0.01,,0.04,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
24,0.03,0.03,0.02,0.01,0.07,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.02,0.02,0.02,
25,0.03,0.03,0.01,0.01,0.05,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.01,
26,0.01,0.01,,,0.02,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
27,0.01,0.01,0.01,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
28,0.02,0.02,0.01,,0.05,0.03,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.04,
29,0.01,0.01,0.01,,0.02,0.01,,,0.01,,,,,0.01,0.01,0.01,
30,0.02,0.02,0.01,,0.04,0.01,0.01,0.01,0.02,,,,,,,,
31,0.02,0.02,0.01,,0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
