,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Log_Close,Long_EMA,Moving_Average_15,Lower_Band,Close_Inverse,Expanding_Mean
0,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.03,0.02
1,0.04,0.04,0.02,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.01,0.02,0.02,0.05,0.04,0.02
2,0.04,0.04,0.02,0.04,0.03,0.03,0.02,0.01,0.02,0.02,0.01,0.02,0.03,0.03,0.03,0.01
3,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,,,,0.03,0.02,
4,0.04,0.04,0.02,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.01,0.01,0.03,0.03,0.04,
5,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
6,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.01
7,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,,0.01,0.01,0.04,0.02,0.01
8,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,0.01,0.03,
9,0.05,0.05,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.05,
10,0.06,0.06,0.03,0.05,0.04,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.06,
11,0.05,0.05,0.03,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.03,0.04,0.04,0.05,0.01
12,0.02,0.02,0.01,0.02,0.01,,0.01,0.01,0.01,0.01,,0.01,0.02,0.03,0.02,0.01
13,0.04,0.04,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,,0.01,0.03,0.04,
14,0.02,0.02,0.01,0.01,0.01,0.01,,0.02,0.01,0.01,,,0.01,0.01,0.02,
15,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,
16,0.05,0.05,0.02,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.01,,,0.02,0.04,
17,0.02,0.02,0.01,0.01,0.01,,,0.02,0.01,0.01,,,0.01,0.01,0.02,
18,0.05,0.05,0.03,0.06,0.05,0.04,0.03,0.05,0.03,0.03,0.01,0.02,0.02,0.02,0.05,
19,0.02,0.02,0.01,0.02,0.02,0.01,,0.01,0.01,0.01,,0.01,0.02,0.02,0.02,
20,0.06,0.06,0.03,0.05,0.04,0.03,0.03,0.06,0.02,0.02,0.01,0.02,0.01,0.01,0.06,
21,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.05,0.03,
22,0.04,0.04,0.02,0.04,0.04,0.02,0.02,0.03,0.02,0.02,0.01,0.01,,0.01,0.04,
23,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,,0.02,0.03,0.04,0.02,0.01
24,0.05,0.05,0.03,0.05,0.05,0.04,0.04,0.07,0.04,0.04,0.01,0.03,0.04,0.03,0.05,0.01
25,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.02,,0.03,0.03,0.03,0.02,0.01
26,0.04,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01
27,0.03,0.03,0.01,0.03,0.03,0.03,0.03,0.02,0.04,0.04,,0.03,0.02,0.07,0.03,0.01
28,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.01
29,0.04,0.04,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.04,0.01
30,0.03,0.03,0.01,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,0.01,0.03,0.01
31,0.08,0.08,0.04,0.04,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.09,
