,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Close_Squared,Log_Close,Moving_Average_5,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Close_Inverse,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.03,0.03,0.02,0.02,0.06,0.01,0.01,0.02,0.01,0.02,,,0.03,,0.01,,0.02
1,0.02,0.02,0.01,0.02,0.03,,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
2,0.05,0.05,0.02,0.03,0.09,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.05,0.01,0.01,0.02,
3,0.04,0.04,0.02,0.04,0.07,0.01,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.02,0.06,0.01
4,0.03,0.03,0.01,0.02,0.05,,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01
5,0.03,0.03,0.02,0.03,0.06,,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.01,,0.03,
6,0.03,0.03,0.01,0.02,0.06,,0.02,0.01,0.01,0.01,,,0.03,0.01,0.01,0.02,
7,0.02,0.02,0.01,0.01,0.05,,0.01,,0.01,,0.01,0.01,0.02,,,0.02,
8,0.01,0.01,0.01,0.01,0.03,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.04,
9,0.02,0.02,0.01,0.02,0.05,,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,,0.02,
10,0.02,0.02,0.01,0.02,0.05,,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,
11,0.05,0.05,0.02,0.04,0.09,0.01,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.03,0.02,0.04,
12,0.02,0.02,0.01,0.01,0.04,,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.04,0.01
13,0.02,0.02,0.01,0.02,0.04,,0.02,0.01,,,,,0.02,,0.01,0.01,
14,0.02,0.02,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,0.01,
15,0.02,0.02,0.01,0.02,0.04,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,
16,0.02,0.02,0.01,0.02,0.05,,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,0.02,
17,0.02,0.02,0.01,0.01,0.03,,0.01,,0.01,,,,0.02,0.01,,0.01,
18,0.01,0.01,0.01,0.02,0.03,,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,
19,0.03,0.03,0.02,0.03,0.06,,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.01,0.01,0.03,
20,0.01,0.01,0.01,0.01,0.02,,0.01,,0.01,,0.01,0.01,0.01,0.01,,,
21,0.02,0.02,0.01,0.01,0.04,,0.01,0.01,,0.01,0.01,0.01,0.02,,,0.01,
22,0.03,0.03,0.02,0.04,0.07,0.01,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.03,
23,0.02,0.02,0.01,0.02,0.03,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,
24,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,
25,0.02,0.02,0.01,0.01,0.03,,,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
26,0.02,0.02,0.01,0.02,0.04,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,,,0.01,
27,0.02,0.02,0.01,0.02,0.04,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,
28,0.01,0.01,0.01,0.01,0.03,,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01
29,0.02,0.02,0.01,0.02,0.05,,0.02,0.01,,0.01,0.01,0.01,0.02,,,0.01,
30,0.02,0.02,0.01,0.01,0.04,,0.01,0.01,0.01,0.01,,,0.02,0.01,,0.01,
31,0.04,0.04,0.02,0.02,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,,,0.02,
