,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Moving_Average_3,Moving_Average_5,Close_Inverse,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Upper_Band,Long_EMA,Lower_Band,Expanding_Mean
0,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,,,,,0.01,0.01
1,0.01,0.01,,,,,0.01,,,0.01,0.01,0.01,0.01,,,
2,0.03,0.03,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
3,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.01
4,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,,0.01,,0.01,
5,0.02,0.02,0.01,,0.01,0.01,0.02,,,,,,0.01,,,
6,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,
7,0.01,0.01,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,
8,0.01,0.01,,,,,0.01,,,,,,,,,
9,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,,,0.01,
10,0.06,0.06,0.03,0.01,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.03,0.06,0.03,0.08,0.01
11,0.02,0.02,0.01,,0.01,0.01,0.02,,,,,0.02,,0.01,,
12,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.02,,0.01,
13,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,
14,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
15,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
16,0.02,0.02,0.01,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.03,
17,0.01,0.01,,,0.01,0.01,0.01,,,0.01,0.01,,,,0.01,
18,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,0.01,,,
19,0.02,0.02,0.01,,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
20,0.02,0.02,0.01,,0.01,0.01,0.02,,,,,,0.01,,,
21,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,,,0.01,
22,0.04,0.04,0.02,0.01,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.05,0.02,0.03,
23,0.01,0.01,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,
24,0.02,0.02,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,
25,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,,0.01,,0.01,
26,0.01,0.01,,,0.01,0.01,0.01,,,,,,,,,
27,0.01,0.01,,,0.01,,0.01,,,,,,,,0.01,
28,0.01,0.01,,,0.01,,0.01,,,,,,,,0.01,
29,0.03,0.03,0.02,0.01,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.05,0.02,0.02,
30,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,
31,0.03,0.03,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,,0.01,,0.02,
